sample_id,split,num_train,num_eval,suffix_start,layers,patch_source,alpha,context_tokens,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,full_continuation_ce,boot_continuation_ce,full_text,boot_text
0,eval,8,8,12,"12,13,14,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
0,eval,8,8,12,"12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,eval,8,8,12,"12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,eval,8,8,12,"12,13,14,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
1,eval,8,8,12,"12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,eval,8,8,12,"12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,eval,8,8,12,"12,13,14,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
2,eval,8,8,12,"12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
3,eval,8,8,12,"12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
3,eval,8,8,12,"12,13,14,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
3,eval,8,8,12,"12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
4,eval,8,8,12,"12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
4,eval,8,8,12,"12,13,14,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
4,eval,8,8,12,"12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
5,eval,8,8,12,"12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
5,eval,8,8,12,"12,13,14,15",translated,1.0,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
5,eval,8,8,12,"12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.9003846645355225,0.9003846645355225,.00|游戏开始|9821,.00|游戏开始|9821
6,eval,8,8,12,"12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.8225672245025635,0.8225672245025635,游戏开始|6286|3|,游戏开始|6286|3|
6,eval,8,8,12,"12,13,14,15",translated,1.0,128,8,1,0,3,0.625,0.625,0.8225672245025635,1.14458167552948,游戏开始|6286|3|,游戏开始|5912|2|
6,eval,8,8,12,"12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.8225672245025635,0.8225672245025635,游戏开始|6286|3|,游戏开始|6286|3|
7,eval,8,8,12,"12,13,14,15",none,0.0,128,8,1,1,8,1.0,1.0,0.8225672245025635,0.8225672245025635,游戏开始|6286|3|,游戏开始|6286|3|
7,eval,8,8,12,"12,13,14,15",translated,1.0,128,8,1,0,3,0.625,0.625,0.8225672245025635,1.14458167552948,游戏开始|6286|3|,游戏开始|5912|2|
7,eval,8,8,12,"12,13,14,15",translated,0.5,128,8,1,1,8,1.0,1.0,0.8225672245025635,0.8225672245025635,游戏开始|6286|3|,游戏开始|6286|3|
